Account,Date,Closed PnL
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-10-27,-327505.900056
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-19,1927735.720035
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2024-10-27,20607.446093000002
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-02-19,17098.727055
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2025-06-15,10179.147366
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-03-28,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2023-11-14,0.0
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-03-09,-5564.01614
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-07-03,215.754798
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2024-10-27,36993.371011
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-02-19,-59349.677108
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,2025-06-15,-3499.0325470000002
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2024-10-27,16102.56859
0x420ab45e0bd8863569a5efbb9c05d91f40624641,2025-02-19,183403.024142
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-03-09,0.0
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-07-03,145563.448374
0x430f09841d65beb3f27765503d0f850b8bce7713,2024-10-27,160450.518105
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-02-19,110527.905862
0x430f09841d65beb3f27765503d0f850b8bce7713,2025-06-15,0.0
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2024-10-27,8833.492614
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-03-09,-7919.471032000002
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-07-03,-25991.506339
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2024-10-27,111230.498007
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-19,223968.37089299998
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-06-15,7687.978187
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-10-27,0.0
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-02-19,403501.648209
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-06-15,436920.907007
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-10-27,101539.274031
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-19,6979.340871
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-06-15,212.60187
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-10-27,51737.579418
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-02-19,341945.434741
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-06-15,9328.49
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-03-09,187842.08419
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-07-03,0.16271999999999998
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2024-10-27,37526.331877
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-02-19,136208.043913
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2025-06-15,17518.784011
0x8170715b3b381dffb7062c0298972d4727a0a63b,2024-10-27,0.0
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-02-19,196303.792847
0x8170715b3b381dffb7062c0298972d4727a0a63b,2025-06-15,-363924.917628
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2024-10-27,11.717676000000012
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-02-19,64510.169958
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-06-15,991.770272
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-03,-9125.157325
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-10-27,39978.37791
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-02-19,46257.358187
0x8477e447846c758f5a675856001ea72298fd9cb5,2025-06-15,-33193.569796
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2024-10-27,49180.714882
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-02-19,40314.808014
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,2025-06-15,16807.35236
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2024-10-27,20925.513222
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-02-19,8751.751449
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,2025-06-15,38168.35486
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2024-10-27,55.01524
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,2025-02-19,21703.816512999998
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2023-11-14,155.50335699999994
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-03-09,2606.8947559999997
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-07-03,62586.1816
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2024-10-27,1421755.845871
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-02-19,553818.000465
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2025-06-15,102460.17164
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-02-19,940157.212682
0xbaaaf6571ab7d571043ff1e313a9609a10637864,2025-06-15,6.593538
